Representative,Party,District,State,Start,End,Start_Year,End_Year,Duration,Duration_simple,Congress,Congress_Start,Congress_End,Incumbancy
George W. Andrews,Democratic,3rd,Alabama,1944-03-14,1963-01-03,1944,1963,6869 days,18.81917808219178,87,1961,1963,17
Frank W. Boykin,Democratic,1st,Alabama,1935-07-30,1963-01-03,1935,1963,10019 days,27.44931506849315,87,1961,1963,26
Carl Elliott,Democratic,7th,Alabama,1949-01-03,1963-01-03,1949,1963,5113 days,14.008219178082191,87,1961,1963,12
George M. Grant,Democratic,2nd,Alabama,1938-06-14,1963-01-03,1938,1963,8969 days,24.572602739726026,87,1961,1963,23
George Huddleston Jr.,Democratic,9th,Alabama,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Robert E. Jones Jr.,Democratic,8th,Alabama,1947-01-28,1963-01-03,1947,1963,5819 days,15.942465753424658,87,1961,1963,14
Albert Rains,Democratic,5th,Alabama,1945-01-03,1963-01-03,1945,1963,6574 days,18.01095890410959,87,1961,1963,16
Kenneth A. Roberts,Democratic,4th,Alabama,1951-01-03,1963-01-03,1951,1963,4383 days,12.008219178082191,87,1961,1963,10
Armistead I. Selden Jr.,Democratic,6th,Alabama,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
John Jacob Rhodes,Republican,1st,Arizona,1953-01-03,1983-01-03,1953,1983,10957 days,30.019178082191782,87,1961,1963,8
Mo Udall,Democratic,2nd,Arizona,1961-05-02,1991-05-04,1961,1991,10959 days,30.024657534246575,87,1961,1963,0
Dale Alford,Democratic,5th,Arkansas,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
Ezekiel C. Gathings,Democratic,1st,Arkansas,1939-01-03,1969-01-03,1939,1969,10958 days,30.02191780821918,87,1961,1963,22
Oren Harris,Democratic,4th,Arkansas,1953-01-03,1966-02-02,1953,1966,4778 days,13.09041095890411,87,1961,1963,8
Wilbur Mills,Democratic,2nd,Arkansas,1939-01-03,1977-01-03,1939,1977,13880 days,38.02739726027397,87,1961,1963,22
Catherine Dorris Norrell,Democratic,6th,Arkansas,1961-04-18,1963-01-03,1961,1963,625 days,1.7123287671232876,87,1961,1963,0
James William Trimble,Democratic,3rd,Arkansas,1945-01-03,1967-01-03,1945,1967,8035 days,22.013698630136986,87,1961,1963,16
John F. Baldwin Jr.,Republican,6th,California,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Alphonzo E. Bell Jr.,Republican,16th,California,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Jeffery Cohelan,Democratic,7th,California,1959-01-03,1971-01-03,1959,1971,4383 days,12.008219178082191,87,1961,1963,2
James C. Corman,Democratic,22nd,California,1961-01-03,1975-01-03,1961,1975,5113 days,14.008219178082191,87,1961,1963,0
Clyde Doyle,Democratic,23rd,California,1953-01-03,1963-03-14,1953,1963,3722 days,10.197260273972603,87,1961,1963,8
Charles S. Gubser,Republican,10th,California,1953-01-03,1974-12-31,1953,1974,8032 days,22.005479452054793,87,1961,1963,8
Harlan Hagen,Democratic,14th,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Edgar W. Hiestand,Republican,21st,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Chet Holifield,Democratic,19th,California,1943-01-03,1974-12-31,1943,1974,11685 days,32.013698630136986,87,1961,1963,18
Craig Hosmer,Republican,18th,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Harold T. Johnson,Democratic,2nd,California,1959-01-03,1975-01-03,1959,1975,5844 days,16.01095890410959,87,1961,1963,2
Cecil R. King,Democratic,17th,California,1942-08-25,1969-01-03,1942,1969,9628 days,26.378082191780823,87,1961,1963,19
Glenard P. Lipscomb,Republican,24th,California,1953-11-17,1970-02-01,1953,1970,5920 days,16.21917808219178,87,1961,1963,8
William S. Mailliard,Republican,4th,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Gordon L. McDonough,Republican,15th,California,1945-01-03,1963-01-03,1945,1963,6574 days,18.01095890410959,87,1961,1963,16
John J. McFall,Democratic,11th,California,1957-01-03,1963-01-03,1957,1963,2191 days,6.002739726027397,87,1961,1963,4
George Paul Miller,Democratic,8th,California,1953-01-03,1973-01-03,1953,1973,7305 days,20.013698630136986,87,1961,1963,8
John E. Moss,Democratic,3rd,California,1953-01-03,1978-12-31,1953,1978,9493 days,26.008219178082193,87,1961,1963,8
James Roosevelt,Democratic,26th,California,1955-01-03,1965-09-30,1955,1965,3923 days,10.747945205479452,87,1961,1963,6
John H. Rousselot,Republican,25th,California,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Dalip Singh Saund,Democratic,29th,California,1957-01-03,1963-01-03,1957,1963,2191 days,6.002739726027397,87,1961,1963,4
John F. Shelley,Democratic,5th,California,1949-11-08,1964-01-07,1949,1964,5173 days,14.172602739726027,87,1961,1963,12
Harry R. Sheppard,Democratic,27th,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Bernice F. Sisk,Democratic,12th,California,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
H. Allen Smith,Republican,20th,California,1957-01-03,1973-01-03,1957,1973,5844 days,16.01095890410959,87,1961,1963,4
Charles M. Teague,Republican,13th,California,1955-01-03,1974-01-01,1955,1974,6938 days,19.008219178082193,87,1961,1963,6
James B. Utt,Republican,28th,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Bob Wilson,Republican,30th,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
J. Arthur Younger,Republican,9th,California,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Wayne N. Aspinall,Democratic,4th,Colorado,1949-01-03,1973-01-03,1949,1973,8766 days,24.016438356164382,87,1961,1963,12
John Chenoweth,Republican,3rd,Colorado,1951-01-03,1965-01-03,1951,1965,5114 days,14.01095890410959,87,1961,1963,10
Peter H. Dominick,Republican,2nd,Colorado,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Byron G. Rogers,Democratic,1st,Colorado,1951-01-03,1971-01-03,1951,1971,7305 days,20.013698630136986,87,1961,1963,10
Emilio Q. Daddario,Democratic,1st,Connecticut,1959-01-03,1971-01-03,1959,1971,4383 days,12.008219178082191,87,1961,1963,2
Robert Giaimo,Democratic,3rd,Connecticut,1959-01-03,1981-01-03,1959,1981,8036 days,22.016438356164382,87,1961,1963,2
Frank Kowalski,Democratic,At-large,Connecticut,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
John S. Monagan,Democratic,5th,Connecticut,1959-01-03,1973-01-03,1959,1973,5114 days,14.01095890410959,87,1961,1963,2
Horace Seely-Brown Jr.,Republican,2nd,Connecticut,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Abner W. Sibal,Republican,4th,Connecticut,1961-01-03,1965-01-03,1961,1965,1461 days,4.002739726027397,87,1961,1963,0
Charles Edward Bennett,Democratic,2nd,Florida,1949-01-03,1967-01-03,1949,1967,6574 days,18.01095890410959,87,1961,1963,12
William C. Cramer,Republican,1st,Florida,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Dante Fascell,Democratic,4th,Florida,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
James A. Haley,Democratic,7th,Florida,1953-01-03,1973-01-03,1953,1973,7305 days,20.013698630136986,87,1961,1963,8
Syd Herlong,Democratic,5th,Florida,1949-01-03,1967-01-03,1949,1967,6574 days,18.01095890410959,87,1961,1963,12
Donald Ray Matthews,Democratic,8th,Florida,1953-01-03,1967-01-03,1953,1967,5113 days,14.008219178082191,87,1961,1963,8
Paul Rogers,Democratic,6th,Florida,1955-01-04,1967-01-03,1955,1967,4382 days,12.005479452054795,87,1961,1963,6
Bob Sikes,Democratic,3rd,Florida,1945-01-03,1963-01-03,1945,1963,6574 days,18.01095890410959,87,1961,1963,16
Ralph R. Harding,Democratic,2nd,Idaho,1961-01-03,1965-01-03,1961,1965,1461 days,4.002739726027397,87,1961,1963,0
Gracie Pfost,Democratic,1st,Idaho,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
John B. Anderson,Republican,16th,Illinois,1961-01-03,1981-01-03,1961,1981,7305 days,20.013698630136986,87,1961,1963,0
Leslie C. Arends,Republican,17th,Illinois,1935-01-03,1973-01-03,1935,1973,13880 days,38.02739726027397,87,1961,1963,26
Robert B. Chiperfield,Republican,19th,Illinois,1949-01-03,1963-01-03,1949,1963,5113 days,14.008219178082191,87,1961,1963,12
Marguerite S. Church,Republican,13th,Illinois,1951-01-03,1963-01-03,1951,1963,4383 days,12.008219178082191,87,1961,1963,10
Harold R. Collier,Republican,10th,Illinois,1957-01-03,1973-01-03,1957,1973,5844 days,16.01095890410959,87,1961,1963,4
William L. Dawson,Democratic,1st,Illinois,1943-01-03,1970-11-09,1943,1970,10172 days,27.86849315068493,87,1961,1963,18
Edward J. Derwinski,Republican,4th,Illinois,1959-01-03,1983-01-03,1959,1983,8766 days,24.016438356164382,87,1961,1963,2
Paul Findley,Republican,20th,Illinois,1961-01-03,1983-01-03,1961,1983,8035 days,22.013698630136986,87,1961,1963,0
Edward R. Finnegan,Democratic,12th,Illinois,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Kenneth J. Gray,Democratic,25th,Illinois,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Elmer J. Hoffman,Republican,14th,Illinois,1959-01-03,1965-01-03,1959,1965,2192 days,6.005479452054795,87,1961,1963,2
John C. Kluczynski,Democratic,5th,Illinois,1951-01-03,1975-01-26,1951,1975,8789 days,24.07945205479452,87,1961,1963,10
Roland V. Libonati,Democratic,7th,Illinois,1957-12-31,1965-01-03,1957,1965,2560 days,7.013698630136986,87,1961,1963,4
Peter F. Mack Jr.,Democratic,21st,Illinois,1949-01-03,1963-01-03,1949,1963,5113 days,14.008219178082191,87,1961,1963,12
Noah M. Mason,Republican,15th,Illinois,1949-01-03,1963-01-03,1949,1963,5113 days,14.008219178082191,87,1961,1963,12
Robert H. Michel,Republican,18th,Illinois,1957-01-03,1995-01-03,1957,1995,13879 days,38.02465753424657,87,1961,1963,4
William T. Murphy,Democratic,3rd,Illinois,1959-01-03,1971-01-03,1959,1971,4383 days,12.008219178082191,87,1961,1963,2
Thomas J. O'Brien,Democratic,6th,Illinois,1943-01-03,1964-04-14,1943,1964,7772 days,21.293150684931508,87,1961,1963,18
Barratt O'Hara,Democratic,2nd,Illinois,1953-01-03,1969-01-03,1953,1969,5844 days,16.01095890410959,87,1961,1963,8
Melvin Price,Democratic,24th,Illinois,1953-01-03,1973-01-03,1953,1973,7305 days,20.013698630136986,87,1961,1963,8
Roman C. Pucinski,Democratic,11th,Illinois,1959-01-03,1973-01-03,1959,1973,5114 days,14.01095890410959,87,1961,1963,2
Dan Rostenkowski,Democratic,8th,Illinois,1959-01-03,1993-01-03,1959,1993,12419 days,34.02465753424657,87,1961,1963,2
George E. Shipley,Democratic,23rd,Illinois,1959-01-03,1973-01-03,1959,1973,5114 days,14.01095890410959,87,1961,1963,2
William L. Springer,Republican,22nd,Illinois,1951-01-03,1973-01-03,1951,1973,8036 days,22.016438356164382,87,1961,1963,10
Sidney R. Yates,Democratic,9th,Illinois,1949-01-03,1963-01-03,1949,1963,5113 days,14.008219178082191,87,1961,1963,12
E. Ross Adair,Republican,4th,Indiana,1951-01-03,1971-01-03,1951,1971,7305 days,20.013698630136986,87,1961,1963,10
John Brademas,Democratic,3rd,Indiana,1959-01-03,1981-01-03,1959,1981,8036 days,22.016438356164382,87,1961,1963,2
William G. Bray,Republican,7th,Indiana,1951-01-03,1967-01-03,1951,1967,5844 days,16.01095890410959,87,1961,1963,10
Donald C. Bruce,Republican,11th,Indiana,1961-01-03,1965-01-03,1961,1965,1461 days,4.002739726027397,87,1961,1963,0
Winfield K. Denton,Democratic,8th,Indiana,1955-01-03,1966-12-30,1955,1966,4379 days,11.997260273972604,87,1961,1963,6
Charles A. Halleck,Republican,2nd,Indiana,1935-01-29,1969-01-03,1935,1969,12393 days,33.95342465753425,87,1961,1963,26
Ralph Harvey,Republican,10th,Indiana,1961-01-03,1966-12-30,1961,1966,2187 days,5.991780821917808,87,1961,1963,0
Ray J. Madden,Democratic,1st,Indiana,1943-01-03,1977-01-03,1943,1977,12419 days,34.02465753424657,87,1961,1963,18
Richard L. Roudebush,Republican,6th,Indiana,1961-01-03,1967-01-03,1961,1967,2191 days,6.002739726027397,87,1961,1963,0
J. Edward Roush,Democratic,5th,Indiana,1961-06-14,1969-01-03,1961,1969,2760 days,7.561643835616438,87,1961,1963,0
Earl Wilson,Republican,9th,Indiana,1961-01-03,1965-01-03,1961,1965,1461 days,4.002739726027397,87,1961,1963,0
James E. Bromwell,Republican,2nd,Iowa,1961-01-03,1965-01-03,1961,1965,1461 days,4.002739726027397,87,1961,1963,0
Merwin Coad,Democratic,6th,Iowa,1957-01-03,1963-01-03,1957,1963,2191 days,6.002739726027397,87,1961,1963,4
Harold R. Gross,Republican,3rd,Iowa,1949-01-03,1975-01-03,1949,1975,9496 days,26.016438356164382,87,1961,1963,12
Charles B. Hoeven,Republican,8th,Iowa,1943-01-03,1963-01-03,1943,1963,7305 days,20.013698630136986,87,1961,1963,18
Ben F. Jensen,Republican,7th,Iowa,1939-01-03,1965-01-03,1939,1965,9497 days,26.019178082191782,87,1961,1963,22
John Henry Kyl,Republican,4th,Iowa,1959-12-15,1965-01-03,1959,1965,1846 days,5.057534246575343,87,1961,1963,2
Fred Schwengel,Republican,1st,Iowa,1955-01-03,1965-01-03,1955,1965,3653 days,10.008219178082191,87,1961,1963,6
Neal Smith,Democratic,5th,Iowa,1959-01-03,1973-01-03,1959,1973,5114 days,14.01095890410959,87,1961,1963,2
Frank W. Burke,Democratic,3rd,Kentucky,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
Frank Chelf,Democratic,4th,Kentucky,1945-01-03,1967-01-03,1945,1967,8035 days,22.013698630136986,87,1961,1963,16
William Huston Natcher,Democratic,2nd,Kentucky,1953-08-01,1994-03-29,1953,1994,14850 days,40.68493150684932,87,1961,1963,8
Carl D. Perkins,Democratic,7th,Kentucky,1949-01-03,1984-08-03,1949,1984,12996 days,35.605479452054794,87,1961,1963,12
Eugene Siler,Republican,8th,Kentucky,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Brent Spence,Democratic,5th,Kentucky,1935-01-03,1963-01-03,1935,1963,10227 days,28.019178082191782,87,1961,1963,26
Frank Stubblefield,Democratic,1st,Kentucky,1959-01-03,1974-12-31,1959,1974,5841 days,16.002739726027396,87,1961,1963,2
John C. Watts,Democratic,6th,Kentucky,1951-04-04,1971-09-24,1951,1971,7478 days,20.487671232876714,87,1961,1963,10
Hale Boggs,Democratic,2nd,Louisiana,1947-01-03,1973-01-03,1947,1973,9497 days,26.019178082191782,87,1961,1963,14
F. Edward Hébert,Democratic,1st,Louisiana,1941-01-03,1977-01-03,1941,1977,13149 days,36.02465753424657,87,1961,1963,20
Harold B. McSween,Democratic,8th,Louisiana,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
James H. Morrison,Democratic,6th,Louisiana,1943-01-03,1967-01-03,1943,1967,8766 days,24.016438356164382,87,1961,1963,18
Otto Passman,Democratic,5th,Louisiana,1947-01-03,1977-01-03,1947,1977,10958 days,30.02191780821918,87,1961,1963,14
T. Ashton Thompson,Democratic,7th,Louisiana,1953-01-03,1965-07-01,1953,1965,4562 days,12.498630136986302,87,1961,1963,8
Joe Waggonner,Democratic,4th,Louisiana,1961-12-19,1979-01-03,1961,1979,6224 days,17.052054794520547,87,1961,1963,0
Edwin E. Willis,Democratic,3rd,Louisiana,1949-01-03,1969-01-03,1949,1969,7305 days,20.013698630136986,87,1961,1963,12
Daniel Brewster,Democratic,2nd,Maryland,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
George H. Fallon,Democratic,4th,Maryland,1945-01-03,1971-01-03,1945,1971,9496 days,26.016438356164382,87,1961,1963,16
Samuel Friedel,Democratic,7th,Maryland,1953-01-03,1971-01-03,1953,1971,6574 days,18.01095890410959,87,1961,1963,8
Edward Garmatz,Democratic,3rd,Maryland,1947-07-15,1973-01-03,1947,1973,9304 days,25.49041095890411,87,1961,1963,14
Thomas F. Johnson,Democratic,1st,Maryland,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
Richard Lankford,Democratic,5th,Maryland,1955-01-03,1965-01-03,1955,1965,3653 days,10.008219178082191,87,1961,1963,6
Charles Mathias,Republican,6th,Maryland,1961-01-03,1969-01-03,1961,1969,2922 days,8.005479452054795,87,1961,1963,0
William H. Bates,Republican,6th,Massachusetts,1950-02-14,1969-06-22,1950,1969,7068 days,19.364383561643837,87,1961,1963,11
Edward Boland,Democratic,2nd,Massachusetts,1953-01-03,1989-01-03,1953,1989,13149 days,36.02465753424657,87,1961,1963,8
James A. Burke,Democratic,13th,Massachusetts,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
Silvio O. Conte,Republican,1st,Massachusetts,1959-01-03,1991-02-08,1959,1991,11724 days,32.12054794520548,87,1961,1963,2
Laurence Curtis,Republican,10th,Massachusetts,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Harold Donohue,Democratic,4th,Massachusetts,1947-01-03,1973-01-03,1947,1973,9497 days,26.019178082191782,87,1961,1963,14
Hastings Keith,Republican,9th,Massachusetts,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
Thomas J. Lane,Democratic,7th,Massachusetts,1941-12-30,1963-01-03,1941,1963,7674 days,21.024657534246575,87,1961,1963,20
Torbert H. Macdonald,Democratic,8th,Massachusetts,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Joseph William Martin Jr.,Republican,14th,Massachusetts,1933-03-04,1963-01-03,1933,1963,10897 days,29.854794520547944,87,1961,1963,28
John W. McCormack,Democratic,12th,Massachusetts,1928-11-06,1963-01-03,1928,1963,12476 days,34.18082191780822,87,1961,1963,33
Frank B. Morse,Republican,5th,Massachusetts,1961-01-03,1972-05-01,1961,1972,4136 days,11.331506849315069,87,1961,1963,0
Tip O'Neill,Democratic,11th,Massachusetts,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
Philip J. Philbin,Democratic,3rd,Massachusetts,1943-01-03,1971-01-03,1943,1971,10227 days,28.019178082191782,87,1961,1963,18
John B. Bennett,Republican,12th,Michigan,1947-01-03,1964-08-09,1947,1964,6428 days,17.610958904109587,87,1961,1963,14
William Broomfield,Republican,18th,Michigan,1957-01-03,1973-01-03,1957,1973,5844 days,16.01095890410959,87,1961,1963,4
Elford Albin Cederberg,Republican,10th,Michigan,1953-01-03,1978-12-31,1953,1978,9493 days,26.008219178082193,87,1961,1963,8
Charles E. Chamberlain,Republican,6th,Michigan,1957-01-03,1974-12-31,1957,1974,6571 days,18.002739726027396,87,1961,1963,4
Charles Diggs,Republican,13th,Michigan,1955-01-03,1980-06-03,1955,1980,9283 days,25.432876712328767,87,1961,1963,6
John Dingell,Democratic,15th,Michigan,1955-12-13,1965-01-03,1955,1965,3309 days,9.065753424657535,87,1961,1963,6
Gerald Ford,Republican,5th,Michigan,1949-01-03,1973-12-06,1949,1973,9103 days,24.93972602739726,87,1961,1963,12
Robert P. Griffin,Republican,9th,Michigan,1957-01-03,1966-05-11,1957,1966,3415 days,9.356164383561644,87,1961,1963,4
Martha Griffiths,Democratic,17th,Michigan,1955-01-03,1974-12-31,1955,1974,7302 days,20.005479452054793,87,1961,1963,6
R. James Harvey,Republican,8th,Michigan,1961-01-03,1974-01-31,1961,1974,4776 days,13.084931506849315,87,1961,1963,0
Clare Hoffman,Republican,4th,Michigan,1935-01-03,1963-01-03,1935,1963,10227 days,28.019178082191782,87,1961,1963,26
August E. Johansen,Republican,3rd,Michigan,1955-01-03,1965-01-03,1955,1965,3653 days,10.008219178082191,87,1961,1963,6
Victor A. Knox,Republican,11th,Michigan,1953-01-03,1965-01-03,1953,1965,4383 days,12.008219178082191,87,1961,1963,8
John Lesinski Jr.,Democratic,16th,Michigan,1951-01-03,1965-01-03,1951,1965,5114 days,14.01095890410959,87,1961,1963,10
George Meader,Republican,2nd,Michigan,1951-01-03,1965-01-03,1951,1965,5114 days,14.01095890410959,87,1961,1963,10
Lucien N. Nedzi,Democratic,1st,Michigan,1961-11-07,1965-01-03,1961,1965,1153 days,3.158904109589041,87,1961,1963,0
James G. O'Hara,Democratic,7th,Michigan,1959-01-03,1965-01-03,1959,1965,2192 days,6.005479452054795,87,1961,1963,2
Herman Carl Andersen,Republican,7th,Minnesota,1939-01-03,1963-01-03,1939,1963,8766 days,24.016438356164382,87,1961,1963,22
John Blatnik,Democratic–Farmer–Labor,8th,Minnesota,1947-01-03,1974-12-31,1947,1974,10224 days,28.01095890410959,87,1961,1963,14
Walter Judd,Republican,5th,Minnesota,1943-01-03,1963-01-03,1943,1963,7305 days,20.013698630136986,87,1961,1963,18
Joseph Karth,Democratic–Farmer–Labor,4th,Minnesota,1959-01-03,1977-01-03,1959,1977,6575 days,18.013698630136986,87,1961,1963,2
Odin Langen,Republican,9th,Minnesota,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
Clark MacGregor,Republican,3rd,Minnesota,1961-01-03,1971-01-03,1961,1971,3652 days,10.005479452054795,87,1961,1963,0
Fred Marshall,Democratic–Farmer–Labor,6th,Minnesota,1949-01-03,1963-01-03,1949,1963,5113 days,14.008219178082191,87,1961,1963,12
Ancher Nelsen,Republican,2nd,Minnesota,1959-01-03,1974-12-31,1959,1974,5841 days,16.002739726027396,87,1961,1963,2
Al Quie,Republican,1st,Minnesota,1958-02-18,1979-01-03,1958,1979,7624 days,20.887671232876713,87,1961,1963,3
Thomas G. Abernethy,Democratic,1st,Mississippi,1953-01-03,1973-01-03,1953,1973,7305 days,20.013698630136986,87,1961,1963,8
William M. Colmer,Democratic,6th,Mississippi,1933-03-04,1963-01-03,1933,1963,10897 days,29.854794520547944,87,1961,1963,28
Jamie Whitten,Democratic,2nd,Mississippi,1941-11-04,1973-01-03,1941,1973,11383 days,31.186301369863013,87,1961,1963,20
John B. Williams,Democratic,4th,Mississippi,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
W. Arthur Winstead,Democratic,5th,Mississippi,1943-01-03,1963-01-03,1943,1963,7305 days,20.013698630136986,87,1961,1963,18
Richard Walker Bolling,Democratic,5th,Missouri,1949-01-03,1983-01-03,1949,1983,12418 days,34.02191780821918,87,1961,1963,12
Clarence Cannon,Democratic,9th,Missouri,1935-01-03,1964-05-12,1935,1964,10722 days,29.375342465753423,87,1961,1963,26
Thomas B. Curtis,Republican,2nd,Missouri,1953-01-03,1969-01-03,1953,1969,5844 days,16.01095890410959,87,1961,1963,8
Durward Gorham Hall,Republican,7th,Missouri,1961-01-03,1973-01-03,1961,1973,4383 days,12.008219178082191,87,1961,1963,0
William Raleigh Hull Jr.,Democratic,6th,Missouri,1955-01-03,1973-01-03,1955,1973,6575 days,18.013698630136986,87,1961,1963,6
Richard Howard Ichord Jr.,Democratic,8th,Missouri,1961-01-03,1981-01-03,1961,1981,7305 days,20.013698630136986,87,1961,1963,0
Paul C. Jones,Democratic,10th,Missouri,1948-11-02,1969-01-03,1948,1969,7367 days,20.183561643835617,87,1961,1963,13
Frank M. Karsten,Democratic,1st,Missouri,1953-01-03,1969-01-03,1953,1969,5844 days,16.01095890410959,87,1961,1963,8
Morgan M. Moulder,Democratic,11th,Missouri,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
William J. Randall,Democratic,4th,Missouri,1959-03-03,1977-01-03,1959,1977,6516 days,17.852054794520548,87,1961,1963,2
Leonor Sullivan,Democratic,3rd,Missouri,1953-01-03,1977-01-03,1953,1977,8766 days,24.016438356164382,87,1961,1963,8
James F. Battin,Republican,2nd,Montana,1961-01-03,1969-02-27,1961,1969,2977 days,8.156164383561643,87,1961,1963,0
Arnold Olsen,Democratic,1st,Montana,1961-01-03,1971-01-03,1961,1971,3652 days,10.005479452054795,87,1961,1963,0
Ralph F. Beermann,Republican,3rd,Nebraska,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Glenn Cunningham,Republican,2nd,Nebraska,1957-01-03,1971-01-03,1957,1971,5113 days,14.008219178082191,87,1961,1963,4
David T. Martin,Republican,4th,Nebraska,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Phillip H. Weaver,Republican,1st,Nebraska,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Perkins Bass,Republican,2nd,New_Hampshire,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Charles Earl Merrow,Republican,1st,New_Hampshire,1943-01-03,1963-01-03,1943,1963,7305 days,20.013698630136986,87,1961,1963,18
James C. Auchincloss,Republican,3rd,New_Jersey,1943-01-01,1965-01-01,1943,1965,8036 days,22.016438356164382,87,1961,1963,18
William T. Cahill,Republican,1st,New_Jersey,1959-01-01,1967-01-01,1959,1967,2922 days,8.005479452054795,87,1961,1963,2
Dominick V. Daniels,Democratic,14th,New_Jersey,1959-01-01,1977-01-01,1959,1977,6575 days,18.013698630136986,87,1961,1963,2
Florence P. Dwyer,Republican,6th,New_Jersey,1957-01-01,1967-01-01,1957,1967,3652 days,10.005479452054795,87,1961,1963,4
Peter Frelinghuysen Jr.,Republican,5th,New_Jersey,1953-01-01,1975-01-01,1953,1975,8035 days,22.013698630136986,87,1961,1963,8
Cornelius E. Gallagher,Democratic,13th,New_Jersey,1959-01-01,1973-01-01,1959,1973,5114 days,14.01095890410959,87,1961,1963,2
Milton W. Glenn,Republican,2nd,New_Jersey,1957-01-01,1965-01-01,1957,1965,2922 days,8.005479452054795,87,1961,1963,4
Charles S. Joelson,Democratic,8th,New_Jersey,1961-01-01,1969-01-01,1961,1969,2922 days,8.005479452054795,87,1961,1963,0
Frank C. Osmers Jr.,Republican,9th,New_Jersey,1951-01-01,1965-01-01,1951,1965,5114 days,14.01095890410959,87,1961,1963,10
Peter W. Rodino Jr.,Democratic,10th,New_Jersey,1949-01-01,1989-01-01,1949,1989,14610 days,40.02739726027397,87,1961,1963,12
Frank Thompson Jr.,Democratic,4th,New_Jersey,1955-01-01,1980-01-01,1955,1980,9131 days,25.016438356164382,87,1961,1963,6
George M. Wallhauser,Republican,12th,New_Jersey,1959-01-01,1965-01-01,1959,1965,2192 days,6.005479452054795,87,1961,1963,2
William B. Widnall,Republican,7th,New_Jersey,1950-01-01,1974-01-01,1950,1974,8766 days,24.016438356164382,87,1961,1963,11
Joseph Montoya,Democratic,At-large,New_Mexico,1957-04-09,1964-11-03,1957,1964,2765 days,7.575342465753424,87,1961,1963,4
Thomas G. Morris,Democratic,At-large,New_Mexico,1959-01-03,1969-01-03,1959,1969,3653 days,10.008219178082191,87,1961,1963,2
Joseph P. Addabbo,Democratic,5th,New_York,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
