state,district,totalHouseholds,prcntBA,prcntHS,prcntAsian,prcntBlack,prcntHisp,prcntWhiteAll,lastName,firstName,middleName,age,gender,numberTerms,daysServed,fracServed,cd,statenm,dwnom1,dwnom2,black,hispanic,numSpon,numCosp,numPassH,numEnact,passPrcnt,congNum,partyControl
CA,2.0,166852.0,9.46516228,60.03772444,0.543422254,0.289569173,3.29820575,28.75823854,Clausen,Donald,Holst,57.0,M,10.0,717.0,1.0,2.0, CALIFOR,0.112000003,-0.006,0.0,0.0,14.0,161.0,1.0,1.0,7.142857143,97.0,D
CA,20.0,191116.0,18.30780803,69.80102971,0.395681355,1.119901966,7.863880179,15.62374712,Goldwater,Barry,Morris,42.0,M,7.0,717.0,1.0,20.0, CALIFOR,0.289999992,-0.115999997,0.0,0.0,26.0,134.0,1.0,1.0,3.846153846,97.0,D
CA,21.0,172546.0,3.88665703,40.35416527,0.248447258,5.419807033,19.73746483,4.257030842,Fiedler,Bobbi, ,43.0,F,1.0,717.0,1.0,21.0, CALIFOR,0.287999988,-0.199000001,0.0,0.0,14.0,74.0,0.0,0.0,0.0,97.0,D
CA,22.0,161238.0,9.068027157,62.69515824,0.14475826,0.351883883,13.30930763,9.169609994,Moorhead,Carlos,John,58.0,M,5.0,717.0,1.0,22.0, CALIFOR,0.389999986,-0.079999998,0.0,0.0,16.0,107.0,2.0,1.0,6.25,97.0,D
CA,23.0,157978.0,11.43063602,64.81892001,0.213307619,0.046645402,7.411534825,15.10513567,Beilenson,Anthony,Charles,48.0,M,3.0,717.0,1.0,23.0, CALIFOR,-0.465999991,-0.587000012,0.0,0.0,7.0,146.0,0.0,0.0,0.0,97.0,D
CA,24.0,161413.0,13.76225915,67.56880941,0.167667397,0.33550419,6.641069642,15.16741161,Waxman,Henry,A.,41.0,M,4.0,717.0,1.0,24.0, CALIFOR,-0.476999998,-0.316000015,0.0,0.0,54.0,184.0,6.0,2.0,3.703703704,97.0,D
CA,25.0,131373.0,12.71563483,67.83564512,0.083923421,0.079225667,12.03385182,7.363958014,Roybal,Edward,Ross,64.0,M,10.0,717.0,1.0,25.0, CALIFOR,-0.603999972,-0.064999998,0.0,1.0,44.0,127.0,2.0,0.0,0.0,97.0,D
CA,26.0,227947.0,18.86561488,70.80505926,0.64833328,3.439662187,3.852641115,30.47780239,Rousselot,John,Harbin,53.0,M,8.0,717.0,1.0,26.0, CALIFOR,0.573000014,0.115999997,0.0,0.0,34.0,172.0,1.0,0.0,0.0,97.0,D
CA,27.0,143867.0,18.68895288,73.51355707,0.160039469,0.144802039,8.988979499,10.4290916,Dornan,Robert,Kenneth,47.0,M,3.0,717.0,1.0,27.0, CALIFOR,0.388999999,-0.057,0.0,0.0,30.0,198.0,0.0,0.0,0.0,97.0,D
CA,28.0,204967.0,27.28931593,76.70197373,0.520954901,0.278449063,6.71118067,19.5665602,Dixon,Julian,C.,46.0,M,2.0,717.0,1.0,28.0, CALIFOR,-0.488999993,-0.050000001,1.0,0.0,5.0,153.0,2.0,2.0,40.0,97.0,D
CA,29.0,172184.0,8.843193025,52.37359138,0.295247576,0.037628771,33.68867959,4.485439645,Hawkins,Augustus,Freeman,73.0,M,10.0,717.0,1.0,29.0, CALIFOR,-0.448000014,-0.501999974,1.0,0.0,8.0,88.0,3.0,0.0,0.0,97.0,D
CA,3.0,167466.0,13.83245065,65.82530894,0.866286423,1.373514688,6.8885721,17.10349424,Matsui,Robert,T.,39.0,M,2.0,717.0,1.0,3.0, CALIFOR,-0.412,0.061999999,0.0,0.0,24.0,224.0,4.0,3.0,12.5,97.0,D
CA,30.0,209103.0,8.805806725,46.96489121,0.323970809,0.178345783,45.7412634,4.007311952,Danielson,George,Elmore,65.0,M,6.0,717.0,1.0,30.0, CALIFOR,-0.507000029,0.374000013,0.0,0.0,41.0,91.0,9.0,6.0,14.63414634,97.0,D
CA,32.0,191633.0,15.69951661,68.87066348,0.323414293,0.257733342,4.131413064,24.19468392,Anderson,Glenn,Malcolm,67.0,M,7.0,717.0,1.0,32.0, CALIFOR,-0.246999994,-0.032000002,0.0,0.0,29.0,117.0,5.0,5.0,17.24137931,97.0,D
CA,34.0,135840.0,7.493166887,61.20874107,0.146243041,0.135991807,11.72465766,8.871900063,Lungren,Daniel,E.,34.0,M,2.0,717.0,1.0,34.0, CALIFOR,0.528999984,0.202000007,0.0,0.0,8.0,145.0,0.0,0.0,0.0,97.0,D
CA,35.0,164223.0,7.519607802,54.00140189,0.342099614,0.779901743,16.89543439,6.859050412,Dreier,David,T.,28.0,M,1.0,717.0,1.0,35.0, CALIFOR,0.541999996,0.130999997,0.0,0.0,11.0,143.0,0.0,0.0,0.0,97.0,D
CA,36.0,156687.0,10.61463249,55.31603032,0.181025176,0.595459545,13.64610558,10.62308343,Brown,George,E.,60.0,M,9.0,717.0,1.0,36.0, CALIFOR,-0.493000001,0.037,0.0,0.0,19.0,190.0,2.0,1.0,5.263157895,97.0,D
CA,37.0,178919.0,10.87931467,59.89723086,1.013527121,9.949397841,7.542831234,8.578624139,Lewis,Jerry, ,46.0,M,2.0,717.0,1.0,37.0, CALIFOR,0.303000003,0.017000001,0.0,0.0,11.0,93.0,0.0,0.0,0.0,97.0,D
CA,41.0,182790.0,7.551494502,55.7202593,0.331052631,0.959774599,14.12030003,7.6513531,Lowery,William,David,33.0,M,1.0,717.0,1.0,41.0, CALIFOR,0.273000002,-0.151999995,0.0,0.0,7.0,176.0,0.0,0.0,0.0,97.0,D
CA,10.0,140196.0,23.32630469,77.03182134,0.351846773,0.063939758,5.982740439,13.34212579,Edwards,William,Donlon,65.0,M,10.0,717.0,1.0,10.0, CALIFOR,-0.592999995,-0.377999991,0.0,0.0,26.0,203.0,6.0,4.0,15.38461538,97.0,D
CA,11.0,163233.0,13.52143783,69.04433012,0.48027051,0.732296858,8.120838036,12.37413418,Lantos,Tom, ,52.0,M,1.0,717.0,1.0,11.0, CALIFOR,-0.342000008,0.160999998,0.0,0.0,7.0,179.0,0.0,0.0,0.0,97.0,D
CA,33.0,167993.0,14.57540688,65.71999333,0.193774792,0.503574073,6.892640231,16.63199203,Grisham,Wayne,Richard,57.0,M,2.0,717.0,1.0,33.0, CALIFOR,0.326000005,-0.097000003,0.0,0.0,5.0,90.0,0.0,0.0,0.0,97.0,D
CA,38.0,148158.0,5.420666044,48.36152912,0.06303834,0.537384838,19.67670262,6.740844999,Patterson,Jerry,Mumford,46.0,M,4.0,717.0,1.0,38.0, CALIFOR,-0.324000001,0.046999998,0.0,0.0,36.0,241.0,4.0,3.0,8.333333333,97.0,D
CA,31.0,162759.0,9.292685276,63.84933948,0.610927206,2.513450104,8.384076454,11.70866142,Dymally,Mervyn,Malcolm,54.0,M,1.0,717.0,1.0,31.0, CALIFOR,-0.616999984,0.050000001,1.0,0.0,11.0,154.0,1.0,1.0,9.090909091,97.0,D
CA,30.0,209103.0,8.805806725,46.96489121,0.323970809,0.178345783,45.7412634,4.007311952,Martínez,Matthew,G.,51.0,M,1.0,717.0,1.0,30.0, CALIFOR,-0.428000003,0.138999999,0.0,1.0,0.0,12.0,0.0,0.0,,97.0,D
CA,39.0,160661.0,18.80951509,74.32734468,0.170268764,0.064590042,7.493650633,14.12537156,Dannemeyer,William,Edwin,51.0,M,2.0,717.0,1.0,39.0, CALIFOR,0.603999972,-0.180000007,0.0,0.0,10.0,143.0,0.0,0.0,0.0,97.0,D
CA,4.0,163299.0,11.65068599,61.63131983,0.48509052,0.782656987,7.77183188,14.61872734,Fazio,Victor,Herbert,38.0,M,2.0,717.0,1.0,4.0, CALIFOR,-0.470999986,0.411000013,0.0,0.0,17.0,384.0,2.0,2.0,11.76470588,97.0,D
CA,40.0,204793.0,20.83824139,73.5192866,0.439664165,0.328617089,5.041012351,23.17902074,Badham,Robert,Edward,51.0,M,3.0,717.0,1.0,40.0, CALIFOR,0.481000006,0.143000007,0.0,0.0,6.0,126.0,1.0,1.0,16.66666667,97.0,D
CA,6.0,193491.0,23.38402328,74.92604635,1.453268043,0.973245334,3.84612048,19.28781965,Burton,Phillip, ,54.0,M,10.0,717.0,1.0,6.0, CALIFOR,-0.606000006,-0.340000004,0.0,0.0,69.0,153.0,3.0,1.0,1.449275362,97.0,D
CA,42.0,181434.0,16.63128327,70.07054904,0.183242122,0.216250261,6.852753566,16.27445726,Hunter,Duncan,L.,32.0,M,1.0,717.0,1.0,42.0, CALIFOR,0.433999985,0.131999999,0.0,0.0,17.0,84.0,0.0,0.0,0.0,97.0,D
CA,5.0,229980.0,13.91680283,55.37618951,1.758388489,1.951615602,12.59096356,7.294849437,Burton,John,Lowell,48.0,M,5.0,717.0,1.0,5.0, CALIFOR,-0.32100001,-0.889999986,0.0,0.0,18.0,132.0,1.0,1.0,5.555555556,97.0,D
CA,8.0,162452.0,10.77813248,63.4481245,0.437940959,1.937409829,7.843755807,12.9372176,Dellums,Ronald,Vernie,45.0,M,6.0,717.0,1.0,8.0, CALIFOR,-0.634000003,-0.704999983,1.0,0.0,32.0,195.0,3.0,0.0,0.0,97.0,D
CA,7.0,215366.0,23.7626831,66.21333432,1.712638885,7.344595548,4.904560316,19.54811094,Miller,George, ,35.0,M,4.0,717.0,1.0,7.0, CALIFOR,-0.48300001,-0.601000011,0.0,0.0,11.0,150.0,1.0,1.0,9.090909091,97.0,D
CA,43.0,164440.0,10.8175989,57.83648022,0.13758827,0.27558942,17.20597165,7.213631924,Burgener,Clair,Walter,59.0,M,5.0,717.0,1.0,43.0, CALIFOR,0.256999999,-0.023,0.0,0.0,6.0,181.0,1.0,1.0,16.66666667,97.0,D
